utterance_id,speaker_id,utterance,gender
00096385cc,c6a4f,ඇන්ඩ්‍රොමීඩා චක්‍රාවාටය යනු පෘථිවියට ආසන්නම විශාල චක්‍රාවාටයකි,f
00098083c0,3489d,ගෙදර ආපු ගමන්,m
0009f01858,ee3d2,ඔය දක්වල තියෙන කරුණු වලට අනුව,m
0009f364e0,cc837,අපිව නැවත පදිංචි කරවන්න,f
000a29b633,3fa09,දෙමල චිත්‍රපටියේ සිංහල උපසිරැසි දානවද,m
000b27064a,4f068,ඉන්පසු උතුරු දිශාව උතුරු අනුදිශාව ආදී වශයෙන්,f
000b55592c,f4f83,එම වලව්ව පාළුවට ගියේය,f
000bca029f,2f415,පස්ස පැත්තෙ මොලේ තියෙන උන්ට විතරයිනෙ,f
000c6cfeb6,4b127,සගවනු ලබන රහස කුමක්ද,m
000ce64f13,40381,එම ගිවිසුම වන්නේ,m
000cf64e89,0e86b,කිසි තැනක කියල නෑ,f
000da5a66b,e8724,රැකියා සොය සොයා යන්නකු,m
000dbe6cf9,71b3e,ඉදින් භාෂා පරිවර්තකයා,f
000dd8050f,23e9e,සියළු දෙනා ඉන්නවා,f
000ea20dbf,effa6,මට කිසිසේත්ම තිබුනේ නෑ,m
000f3ee036,b7510,තෙරුවන් සරණයි,m
000fdb9064,3a747,භික්ෂූන් පිණ්ඩපාතයේ යන ලද්දේ,f
001059edc8,bae1a,උඹලගේ අලුත් බණ අහලා,m
00109bda47,c8454,පුර පක්ෂයේ චන්ද්‍රයා මෙන් ක්‍රමයෙන්,f
0010db9a60,d4430,සමත්ව ඇත,m
001183b677,4b05c,චරිත දෙක ඉන්න දර්ශනයක්,m
0011f4f9ee,14f37,හරක්මස් කෑමට විරුද්ධව කියවෙන,f
00122c8e9d,41947,උපරිම ආයුෂ විඳින්නේ මැකිලිය පමණකි,m
00128c9ad8,be2e9,මට ආරාධනා ලැබුණා,f
00129d7201,5d099,රැකියා කටයුතුවල යහපත් තත්ත්වයක් උදාකරයි,m
00133d910b,89f4f,ඔබේ කතාවට ස්තුතියි,f
001370ddca,d7784,අපට තේරුම්ගන්න පුළුවන්,f
00139136e2,47746,එකක් කියන්නේ,f
0014885fbd,c3bd0,කිසිදු ආගමක් ප්‍රමුඛ නොවීය,f
0015d52e7e,c6a4f,ඒකට හේතුව නම්,f
00161a961c,00349,ඒ ඒ කාලවලට ඒ ඒ විදිහට අනුව,m
001639f64a,ac562,ඉදිරියට ගෙන ඒමයි,m
001688c1a9,d23af,ලක් කරන්නේය,m
001738c5d0,71b3e,මේ සියල්ල වැනසී ගොස්,f
00173c6f3a,0b586,ධර්මයේ දී යක්ෂ කියලා අමනුෂ්‍ය කොටසක් ගැන දේශනා කරනවා,f
0017c77931,88c80,තවත් යුද්දෙකට පාර කෑපෙන එක,m
001929e757,30661,ඊට හාත්පසින් ම එකඟ නොවූ බුදු බව,f
001a34b529,df981,ඉගෙන ගන්න ඇති දක්ෂය,m
001a974da5,92637,ඉමිග්‍රේශන් එකට ආව කියමුකො,f
001ac18be6,da449,ඉගෙනීමේ කටයුතුවල සාමාන්‍ය දියුණුවක් ඇති වෙතත්,f
001d6df64f,f71ec,උපැසිරැසි බාගෙන විතරක් යන අයට,f
001d916757,b6ca9,මෙහි සුවිශේෂ ස්ථානයක් ගන්නා,f
001d989799,d7f61,එයා ඉරිසියා කරන්නෙ නැති,f
001e2cbc21,11528,මැක් පරිගනක උන නිසා,f
001e46a75a,64af4,අති පූජනීයත්වයට පත් වූ නිසාම,m
001ef778d6,501f8,ඇය පවසා තිබේ,f
001ef809ba,746ff,මේ වැටහීම එනම් අවබෝධයඅධ්‍යාපනය ලැබීමෙන් පමණක්ම,f
001f0191bd,2df96,අදාළ නැහැ,f
001f3b591c,06105,එයින් කිලි පොලායන,f
001f786a2c,db538,ඒත් අර බෙදීම මතක් වෙනකොට,f
001f861d5d,23e9b,මේ වගේ දේවල් නිසා,f
00202efd8b,f2348,පෙන්වා වදාළේ,m
00203fede9,b7054,ඒකත් හැබැයි,m
0020781a75,e8724,මීට හේතු වී ඇත,m
0021614901,4a724,පරිහරණය කරන්න බැහැ,f
0021cd8d8d,21138,එම ටැඹ දැක,m
0021f14c5b,a742b,මල් පැන් සොයා ගෙන රැස්කර ගන්නවා,m
0021f62162,d6ab0,බුදුරජාණන් වහන්සේගේ කාලයේ දී,f
002261e74b,589b0,රටට කුමන බාදක පැමිණියත්,m
0023e04dc5,44e28,අසන්නට ලැබේ,f
0024f74862,02b89,අපි මේ කාලකන්ණි තත්වයෙන්,m
0024fe0655,f0169,අපට පේනවා,f
002605e88c,c094f,කෙනෙක් තිස්පස් වසරක් කෑවොත්,m
00265e7efc,59778,ඇය කියා සිටියේ,f
0026d9a34d,5b275,තැනීම ආරම්භ කර තිබෙනවා,f
00274fc733,e6e7b,අනූ මේවා දැකලා කසාද එපා වෙනවා,f
002845a7b6,a7c07,තම නිර්මාණ සඳහා පාදක කරගත යුත්තේ,m
0028473196,8b8a4,ඒකනේ හැමෝටම,m
0028495103,d23af,තේරුම් ගත්ත ගමන් සීලබ්බත උපාදානයන්ගෙන් නිදහස් වෙනවා,m
0028b2eb65,65469,මූල බීජයන් ඇසුරෙන් ප්‍රබන්ධිත නවකථාවෙකි,f
0029186d32,cf582,එකිනෙකට යටින්,m
002980356a,3e0de,අත්තම්මා ඒවා විස්තර කළ ආකාරයටම,f
002a5450c5,a3a6a,නමුත් පෙර කී ආකාරයේ ආයතනයක,f
002aa96cde,42cde,මේ දක්වා ඇගේ රඟපෑම් දුටු,m
002ae71573,10824,දිවි ගෙවන ප්‍රදේශයකි,f
002b2505ea,be485,ලෝකයේ සියලු වත්කමට වඩා වටිනාම දේ චරිතවත් බව,f
002b84ff4a,f2ef0,ඒත් තවමත් ඔය දැන්වීම්,f
002c20f284,6e92f,ප්‍රමිතිය බලන්න,f
002cc067f7,295d7,බාහිර දෙයට ආශා කිරීම නිසා,m
002cf06184,a3a6a,බෞද්ධ ප්‍රබෝධයත් සමඟ,f
002d811f67,501f8,හසන්ත සහෝත් බස්සන්නෙ මාරම ඒවනෙ,f
002e3c2035,e3ad7,ඩිල්ෂාන් ජයසූරිය මහතා මේ අවතාර පින්තූරය ගැන,f
002e5f19a3,72337,අමනාපය ඇතිවෙන තරහ ඇතිවෙන දේවල්,m
002e92a6d2,0b586,අප රටේ ඇතැම් අය ද,f
002e980925,cd0b3,පාෂාණ කෑල්ලක් වගේ,m
002f5dccc4,dd6f8,සිංහලයන් සමග මේ රට බේරාගත්තේ,m
002fb83849,85ebd,අපේ ලොක්කන්ට අපිත් වදින්න ගත්තෙ,f
0030296395,40953,එම නිසා තම ආරක්ෂාව උදෙසා,m
0030658db9,ce989,නැවත නැවත ඇතිවේද,m
0030a2dd26,77b4b,ඕනෙම මතයක් අදහසක්,f
0030f7c340,0e1e0,මේක මගේ පලවෙනි උපසිරැසි නිමැවුම,f
00311ace77,ad58a,ඒක එහෙම කරන්න බැරි බවයි මම කිව්වේ,m
0032de2d6a,ff39f,අපි කඩු කිනිසි අමෝරා,f
0032e080f5,937dc,ඒත් මමයි උදාරියි,f
003351064b,d1b3d,එක එක න්‍යායපත්‍රවලට වැඩකරලා ජාතික පුවත් පත් කරන්න බැහැනේ,f
00335a30fb,e8724,හතර දෙබාන තීරණය කලානේ,m
0033b57791,10824,අපිව මුලා කරලා නෑ,f
003405381b,1a317,මුලින් සිංහලෙන් ලියා,m
00344f5941,e3235,එයාට ඒ බුදුරජාණන් වහන්සේ ගැන,m
00346e0566,2a845,නිශ්ඵල දෙයක්,m
00348aae3a,78366,ධර්මකාමී ජනතාවට ලෙහෙසියෙන් පැටවිය හැකිය,m
0034a24722,af4ca,පාසල් දරුවන් සඳහා පන්ති පැවැත්වෙන ස්ථානයක්,f
0034c99501,fc853,එම නිසා එක් අයකුට පමණක්,m
0035ad8246,3fcd4,ඒ චරිත මතක් වෙනකොට වෙවුලනවා,f
0035f9f428,5c543,ගත කරන ජීවිතයට වඩා,f
00363881d7,0b370,ලද විශේෂිත අවස්ථාවක්,m
0036829443,0e86b,එය බණ්ඩාරනායකවරුන් අන්ද මන්ද වූ සිද්ධියක් බව නොකිවමනාය,f
00368376a6,d23af,සතර අපායෙන් මිදිලා,m
0036a9e0ea,d1b3d,එයාලට ඕන උනේ,f
0037044ab2,a4315,වැඩි හරියක් පියවර අන්ඩූකරන්න බැහැනෙ,f
003733989f,2f415,කාර් කතන්දර මෙගා සීරිස් එකේ,f
003746ec9e,f200a,ඊට සම්මාදම් නොවී සිටියේ කලාකරුවන්ගෙන් අතලොස්සකි,m
0037a38efe,290a8,එයා කියනවා දුලාන්ට,m
0037a7a1ff,cc837,ලෝකයේ සෑම සන්ස්කෘතියකම දකින්නට පුලුවන්,f
0037c2ce94,1a1f3,මේ ගහ එක්ක මිතුරු වෙලා හිටියා,m
0037c64efa,c95d0,ගේ පුරා යන්නට වූවාය,m
00383da891,bc55f,අවුරුදු ගානකට පස්සේ දවසක් දෙකක්,f
003890cdac,e3ad7,ශ්‍රී බෝසතුන්ගේ ගුණ වර්ණනාකර,f
0038b68ebe,9094b,නැති වෙලා යනවා,f
0038e8f4b8,c6a4f,මිනිස්සු මෙච්චර පාරට බහින්නේ නැහැ,f
003941c4b9,45f15,එය බෝසතුන් කුස,f
0039705efa,64af4,උත්සාහ කරනවා අනිවාර්යෙන්ම,m
00397e3fc5,c094f,චන්දිගාර් කියන කුඩා නගරයක ඉපැදුන කෙල්ලෙක්,m
003a4bbfec,92637,බ්‍රාහ්මණයෙකුගේ දියණියක් වීමයි,f
003a62370b,a5886,බූවල්ලාගේ විෂ,m
003aab1644,54242,හරකා මැරීම ප්‍රශ්නයක් නොවේනම්,f
003b0b945e,80862,මිහිඳු මහරහතන් වහන්සේ සම්මුඛ විය,m
003b8d2998,ec9a8,ජීවත්වීමට වාසනාව ලද,f
003b9f4523,3a976,ලංකාවේ අනන්‍යතාව සඳහන් කරන්නා වූ සම්පතකි,m
003bf8e5f7,dca20,අවම සංශෝධන සහිතව අනුමත කර තිබේ,m
003c5f1f96,338ff,අර සීනු නාදයේ මිහිර,m
003c71086a,8e991,මල් කැකුලු බ්ලොග් එකට මම කැමතියි,m
003c970c61,be485,මෙම විද්‍යාඥානයට මහා රහස් බලයක් ද,f
003cd28dba,be173,පිඬු සිඟා යෑමේ සිරිත සංවිධානය කරති,f
003ce616d2,76999,ළමයි උපදින්න පුළුවන්,m
003d09e985,2fff2,මේ සියලුම ව්‍යාපෘති අසාර්ථක ව්‍යාපෘතිවේ,f
003da956fa,781cf,උසස් පරමාර්ථ හා අරමුණු අනුව ගමන් කිරීම තුළිනි,m
003df4c6bc,abbea,ඒත් ඒ ප්‍රතිපත්ති අපට,m
003e4766af,357e6,ඔකොම ගෙවල් පරික්ෂා කරලා කොහොම හරි,f
003e913ecc,a3a6a,විශේෂයෙන් යථා තොරතුරු,f
003eafe7f3,cf582,හැබැයි ආරංචියෙ හැටියට,m
003f028c94,349a2,මේකට ගැළපෙන සිංහල වචනයක් හොයා ගන්න,f
003f19149d,d0123,අධ්‍යාපනයේ පැවැති විශිෂ්ට ලක්ෂණයකි,f
003f5dd037,fe011,ඒකත් ඉතිං ඔය ගෑනියෙක් එක්ක,m
004033245b,a08e7,වැඩ කරන පියවරු පුත්තු,m
0040d2e344,1b014,කිකිළියන් බිත්තර දමන බව විතරයි,m
0041c37165,ac581,උඹ මට වඩා ඉංග්‍රීසියෙන් වැඩ කරන්න,f
0041e3e888,ab81c,ඔය තට්ට මසාජ් එක,f
0042297ad7,dca20,ඔවුහු ද එකිනෙකාට ආචාර සමාචාර කර ගනිති,m
0042c5ee2d,df38e,ජීවමාන යථාර්ථයක් බව,f
0042dfc9c1,045af,දක්නට ලැබේ,f
004325347f,5d099,ඒත් එයා ඉන්ග්‍රිසියෙන් කතා කල නිසා,m
0043e40e0f,34e38,වෙනස්වීම් සිදුවනවාද,m
00442cd378,f3204,සුභ නැකැත් සුභ නිමිති ආදියයි,f
00459e80f3,23e9e,වඩා ශක්තිමත් කරලා තියෙනවා,f
004633e19b,f2ef0,අද මාර පුදුම කිරිමක් නේ අපිට දුන්නේ,f
004645361d,b6388,අප වෙත ලබාදෙන අයුරු,m
0046e591a0,02f82,බොහෝ ප්‍රභූවරු,m
0046ffc9a7,40381,දුක ලෙස හඳුන්වාදිය හැකි ය,m
0047065141,93c65,ආයිත් බය නැතුව කියනවා,m
00477d9a6d,2db87,මෙම අරමුණු ඉටු කර ගැනීම වෙනුවෙන්,m
0048216fc6,bb0e6,අරාබි රටවල තමයි,f
004822a65d,bb0e6,යතු කැටයේ උපමාව පින්වතුනි,f
004863b209,bba51,එතුමියට අහිමි නොකරන ලෙස,m
0048ff281e,8957e,මල් නොපිපෙන බවයි මා අදහස් කලේ,m
004938c457,a4315,මට නොයෙකුත් අවමාන කලේ කවුද,f
004944ff0c,e42fe,යන තර්කයට ඔබ නොපැමිණියේ ඇයි,f
004967f820,1575e,දෘෂ්ටිවාදාත්මක මැදිහත්වීම,f
00497d6a83,ab81c,පණිවුඩයේ පහත දැක්වෙන සටහන,f
004999bb03,64af4,එසේ පවසා හය වසක් ගෙවුනු තැන,m
0049cec860,7db06,අනෙක් අතට තමන් අනේ පාර්ශවය,m
004a388b48,2f415,උරහිසත් හරි මැද ඒ වල ගැසෙන කොටසේ,f
004a4d46cf,6b5e6,නිවැරැදි බෞද්ධයන් ලෙස අප නැවත සිතා බැලිය යුතුය,m
004a749bea,f2348,ආශාවෙන් උපදින ආදීනව ගැන නුවණින් විමසද්දී,m
004a76c645,05d76,ගොඩක් අඩුවෙන් නිසා,f
004a85169f,11742,ආනන්දයන් දකින්නට පැමිණෙත් ද,m
004ae58840,bba51,එයාගේ හොඳම යාලුව,m
004af49fce,db538,ඇය ව්‍යාපාරිකයෙකුට තර්ජනය කර පහරදීමේ සිද්ධිය,f
004c52f719,02578,තමා පරාජිත පෙම්වතෙක් නොව,f
004c858620,2b212,මේ දේ ගැන මම ආඩම්බර වෙනවා,f
004cd079cf,fda64,එතකොට ඉස්සෙල්ලාම ඒ ශ්‍රාවකයෙක් හැටියට බිහිවුනේ,m
004d54449d,7db06,මේ අසිරිමත් වෙසක් පුර පසළොස්වක,m
004dc9164a,f2348,දසරාජ ධර්මය හා සතර සංග්‍රහ වස්තූන් ය,m
004e57d694,60ae5,ගොවිතැන යාන්ත්‍රීකරණය වීම,m
004e7a7986,29f4f,ජන කවියා මෙසේ ගෙනහැර දක්වයි,f
004ea23c02,fefdf,එහෙම ගියා කියලා,f
004ef323d2,c2201,ඒත් ඒ කාලේ සමාජය,m
004f37131a,cf7b2,උන් වගේ කාලකන්නි උන්ට කියන්න පුළුවන්,f
004fe1bc2f,95589,අපේ ඉස්කෝලේ තමා,m
005027ba11,ed4c3,බලවත් වීර්යයකින් යුක්තව යි,f
005078d99b,be2e9,විශ්වාසී කතා ඇති,f
005085b9a3,98088,බලපු නැති කට්ටිය අනිවා බලන්න,f
00512e8b71,3d027,උදේ ඉඳන් රෑ වෙනතම් රස්තියාදු වෙලා තමයි,f
00514f1999,46a48,අනික ගමේ කෑමක රහ දන්නෙ,m
005196530e,f71ec,නෝර්වේ සංචාරයට සහභාගී වුනේ,f
0052d6e84f,02b89,මැයි මස,m
005416d369,53c73,ඒත්තු ගන්නනවට වැඩිය,m
00547c7bab,3d532,ගොබිලා සාපෙලින්ම,f
00550ab858,73ec9,අපේ ගෙදරට පිටුපස නිවස දෙසින්,f
0055102663,32358,අපට කිසිසේත්ම මෙවැනි දේ ගැන,f
0055bde55e,06d5c,දාන චේතනාව යි,m
00560f0a7f,0a38f,අප රටේ ප්‍රජාතන්ත්‍රවාදය ආරක්ෂා කරන්න නම්,f
00566e6980,94b34,ඒක ගොවියාට ලාබයි,f
0057155cf4,0184c,ඒත් කලින් කිවුවා වගේ,f
0057e32642,d7784,එත් අපිට ලැබුණු උත්තර පට්ට පල් බොරු,f
00580cb86c,41a77,පළමු ස්ථානය ලබාදෙන බවට සෙලින්කෝ ප්‍රධානීන් ලබාදුන් පොරොන්දුවක්,f
0058386dda,6b5e6,මහත් සම්පත් ඇති නමුත්,m
005878a0c5,3eb66,දක්නට ලැබිණි,f
00594d1d0c,babec,සිහි විකල් වියහැකි යැයි කියන මතය යි,m
00596cfe53,fb100,හිපි පරම්පරාව ඇතිවුණා,f
005980c194,96564,මේක ප්‍රංශ චිත්‍රපටයක් නිසා වෙන්න ඇති,m
0059aa8be0,781ce,ඔන්න ඔතනට එන එක තමා,f
005a19eefb,3183b,පොලිසියට පැමිණිල්ලක් කළා නේද,f
005a37cc76,b704b,ඉතින් තමන්ගෙ යෝජනාව ප්‍රතික්ෂේප කරපු නිසා,m
005a46e108,34e56,ඇයි ඔය මං ලින්ක් කරලා තියෙන්නේ,m
005a49b07e,3fa09,සරසවි ඇදුරො දන්නෙ නැහැ,m
005aa28173,55ab9,බර වැඩි ගමන්මළු ආදිය ඇතොත්,m
005ad8dd8a,60906,ඔබගේ සඟල සිවුර දුහුවිල්ලෙන් වැසී ගියේ,f
005ae452ee,4b1d7,වෙනස මෙයින් තේරුම් ගත හැක යන්න,m
005bcfcc65,c5a59,අර සැබෑ ලෝකයේ තියෙන දේවල්,m
005c58d2b3,a6493,පොඩියට තාම හැදීගෙන,f
005cb81476,f9391,කිසිදිනෙක පරාජිත නොවූ බව,m
005ce99977,4b5d0,උපුටා ගැනීම්,m
005dcd895d,ee3d2,මොග්ගලී නම් බැමිණියගේ පුත්‍රයාවූ බැවින්,m
005ea58a7d,f71ec,ඔබ ලබනුයේ කුමක්ද,f
005eabb480,a3d94,එම ග්‍රන්ථය පරිශීලනයෙන් දත හැකි ය,m
005f24b92c,41a77,එහිම පැටලී විනාශ වී යෑම වැන්නකි,f
005f642bf2,14f37,ජනතාව අලුයම් කාලයේ,f
00604eb644,15e2b,මේ සුපිරි තරු හෝටලයේ සැප ලබන්නට,m
006069fa00,dabc0,අතිදක්ෂ රංගන ශිල්පීන් සමූහයකුයි,m
0060cc1bb5,0fcb7,මේ ලිපියේ අරමුණයි,m
006117976e,f5954,ජනකතා තුළ ප්‍රතිනිර්මාණය වෙයි,f
006140875e,77b4b,අරක දිගටම දුන්නට කමක් නෑ,f
006141cb7a,227d7,අග බිසෝ කුස පිළිසිඳ ගත්තේය,f
00614cb9f6,912d1,හින්දු කලාව පෝෂණය වී ඇත්තේ,f
0061669f6f,1ccf9,විවාහ ජිවිතයක් සාර්ථක වෙන්න,m
006180017a,21138,බොහෝ විට ඒ උගේ අවසානය වෙයි,m
0062459e94,501f8,මෙච්චර පට්ට එකක්,f
00625c23e1,309ce,ඇවිලෙමින් තියෙන්නෙ,m
0062b6887e,23329,අනුකම්පාවෙන් ක්‍රියාකර,f
0062fa8175,2e893,අපේ රටේ කොච්චර වැදගත් ලස්සන ස්ථාන තියෙනවාද,m
00630579c6,f0169,නිසා ප්‍රතිඵල නැතිවා මිසක්,f
00634e9471,dca20,සිල් පදවල අදහස මෙන්ම ඒවායේ ඵල විපාකද,m
00636e373a,4b1be,නව රත්නම් නවනීදන් හෙවත් අප්පන්,f
00639fa40c,3d532,කැනඩාවේ ඉන්න තරම් ඉන්නේ,f
0063f7b3b9,b9dc2,ඔවුහු විශ්වාස කරති,f
00644c3c79,be341,අදාළ දේශපාලනඥයා සමග සමීප සබඳතාවයක්,m
0064ec9e8a,1db0f,දූවිලිඈල්ල තියෙන්නෙ,f
0064fe0396,2df96,මම විශ්වාස කරන්නේ,f
0065429c95,190e9,කතරගම ප්‍රදේශය පැත්තේය,f
006575aed8,f2ef0,හැබැයි සංවාදේ කියන්නේ,f
0066033703,0184c,ශාසනික ඥතීත්වය දිනාගෙන කටයුතු කිරීමට හැකියාව ලැබීම,f
00672afb18,3386d,මිනිස්සු පාරට බැහැලා,f
00680eaacb,be173,ඉලගපාර ඉවරම කරලා,f
00682f53e9,5c543,එවැනි ව්‍යාපෘති අනුමැතිය ලබා දුන්,f
0068cfab15,7f4b1,අනේ ඇනෝ ඔයිට වඩා අපහාස,f
00699f237b,1a317,ඔහුට පසක් විය,m
0069b4e268,9d5b3,මුර කරවනු ලබයි,f
006a879be7,016b5,අලංකාර කිරීම නිසා,f
006b14cb9b,7ab05,යානා තුනක් පෘථිවිය බලා පැමිණ තිබෙන,f
006bd2b233,3d027,ප්‍රථම ස්තූපය මිරිසවැටිය චෛත්‍ය නිසා,f
006c1f1bf2,34e38,එක වතාවක් ඇති,m
006c3a1e4a,a3a6a,ඔහොම දේවල් නිතරම කඩා පහත් වෙනව,f
006cbf63d0,6c5e8,ඊට පස්සේ නපුරු කුඩම්මව මරා,m
006ceadc3c,0e375,මුරගලේ සිවුවැනි අවස්ථාව වන විට,m
006d1b3986,fc853,ඒ කාලය තුළ,m
006d3a7d35,be2e9,මිත්‍රයෙකුට ද්‍රෝහී වීම මිත්‍ර ඝාතනය හා සමාන අපරාධයකි,f
006deb3de4,8b8a4,යුද්දෙදි රජතුමා මළා කියල හිතන්නෙ දැන් ඉන්න අයයි,m
006e14fd19,357e6,වුවමනා වුවමනා ආකාරයට වඩා,f
006ea38785,84afe,මොකද රටක් අල්ලගත්ත වගෙ නෙවී නෙ,f
006f04ccb6,b3a0c,උණුසුම් තත්වයක් හට ගැනිණි,f
00700804ff,5dec9,ඒ අය වෙනුවෙන්,m
0070ac181b,03b7a,යම් සමාජයක ගැහැණිය පුදනු ලබන ආකාරය,m
0070ba4a63,15cf5,ඔය ගඩොල් හදල තියෙන්නේ,f
0070c7504c,03b7a,ඇය තම සැමියාගේ හොඳම මිතුරකුගේ බිරිය ඝාතනය කර තිබුණේ,m
007102f133,64af4,දෙවියන් ගැන කියන කල,m
0071eb7f92,9d5b3,ආර්ථික ක්‍රියාවලිය ඇතුළේ,f
00723e0d9b,8957e,සිතක් පහලවීමට ඉඩක් නොමැත,m
007369f1b2,42cde,මේ මැෂින් එක වැඩකරනවා,m
00736b26bf,03500,කිකිළිය කූඩුව ඇතුළේ වැටී සිටිනවා,m
0073803a87,6b5e6,මට නොහැකි විය,m
00738d6f64,8af08,දරුවන් සමාජයට මුහුණ දෙන්න බැරිව,m
0073a07163,349a2,සසර කතරේ අතරමං වීම ඒකාන්තය,f
007455f94b,357e6,අර පරණ වාහන යටට යනවා,f
0074962220,ce989,වෙනත් විකල්ප වැඩ පිළිවෙලක්,m
00749a6274,53c73,දැකීමෙන් උපදින විස්මයක් ද,m
0074a26709,e61f1,කල්‍යාණ මිත්‍ර ආශ්‍රය බෙහෙවින් වර්ණනා කළා,f
0074aca453,b06d1,තුෂාණියෙනි කිසි කෙනෙකුගෙ හිතට,m
0074d1cc12,a7b6a,සෑම මැතිවරණ කොට්ඨාසයක්ම,f
007525191f,5b471,ආයෝජකයන්ට ව්‍යාපාර දියුණු කිරීමටත්,m
00763aefce,1a1f3,අන්න ඒ වගේ කුහරයක හිර කරලා,m
00763ca51d,0e86b,පාප මිත්‍රයෙක් එකතු වෙනවා,f
00768d488f,c4922,සමස්ථ දකුණම කොන්දේසි විරහිතව සහයෝගය පළකරයි,m
0076ef01bd,f71ec,වලියට බර නැති බව පේනවා,f
0076f7586d,e6e7b,වැටලීම් කළ නිලධාරීන්ට හැකිවිනි,f
0077143fbc,55c20,භික්ෂූන්ගේ පරිහරණයට ගනු ලබන්නේ,m
0077404d25,1db0f,මාළිගයෙන් නික්මෙනවා,f
00779dfca6,574a5,ගුත්තිල පඬිතුමා සහ මූසිල හැඳින්වේ,m
0077f729cc,8eb5c,භාවිතා කිරීම අවශ්‍ය වී තිබේ,m
007831fccf,d1c44,තාත්තටත් දෙන්න,f
007881df61,937dc,ෆිල්ම් එක තියෙන නිසා,f
0078daad1d,f2ef0,අයවැය කතාවේදී ජනාධිපතිතුමා කිව්වේ නැහැ,f
0079107561,4b05c,මේ කලාකරුවන්ගෙන් තොරව,m
0079388d30,bc55f,පවතින සමාජය අනුමත කිරීම,f
0079422f9f,92637,ධර්ම සාකච්ඡා පැවැති බව,f
007b1cd618,1afa7,පෙවීම නැතිකර ගැනීම සඳහා,m
007b775aa3,bd2b2,බිත්තරය සමග තලතෙල් සමග,f
007bc9c284,1f5ff,ඊට පස්සේ තනියම මේක කරගෙන යන්න,m
007c0eb928,016b5,මාලිගාවේ ඇතාට අමතර ව තවත් ඇත්තු සතර දෙනෙක්,f
007d8e1744,15cf5,කිසිම ජගතෙකුටවත් බැහැ,f
007db776b0,95589,විචාරකයො කෑ ගහන්න බැරි නෑ,m
007defca5d,02b89,මේ තොරතුරුවලින් පැහැදිලි වන්නේ,m
007e1c29be,47746,තිස්සා නම් බිරිඳගේ සුවඳ වර්ග,f
007e2302af,760be,පෙළ දහමෙහි යෙදී ඇති විශේෂණ පද අතර,f
007e2b81e9,82082,ඒත් නැවත එන්න,m
007e85e543,55c20,ඇමෙරිකාව වගේ වෙන්න,m
007eb8cb88,5a4cf,බරපතළ බවත් වාර්තා වෙයි,f
007efdd374,7d982,බුදුරජාණන් වහන්සේ රහතන් වහන්සේ ත්‍රිවිද්‍යාව පහළකර ගෙන දකින්නේ,m
007f1a4ae6,f0a29,තරමක පරණ සහ විශේෂී එකක්,f
007f31ff0a,4e81e,විභීෂණ දෙවියන්ගෙනි,f
007f63a02e,34e56,පීටර්ස් මහතා විග්‍රහ කරන පරිදි,m
007fb87aa6,dff99,එහෙනම් වියදම තවත් අඩු කරන්න,f
007fc2d5bd,c094f,අගය මැනීම සඳහා,m
0080c40e7f,1afa7,මම ඒත් කල්පනා කලා,m
